product,market_code,market_name,export_value,global_market_size,market_rank,market_share_pct,afghanistan_rank,yoy_growth_pct,cagr_pct,growth_percentage,unit_price,market_avg_price,price_vs_market_pct,price_competitiveness,avg_competitor_price,price_rank
Almonds In-Shell,699,India,7188608.394,2004090510.43,1,0.3586967932130772,,-6.741617675675025,7.004469483808906,22.519651977286163,2.0763482684120227,3.635019845536642,-42.879314098889346,Highly Competitive,,
Almonds In-Shell,156,China,0.0,287648930.0,2,0.0,,,,,,,,,,
Almonds In-Shell,792,Turkey,0.0,151878352.0,3,0.0,,,,,,,,,,
Almonds In-Shell,724,Spain,0.0,112970292.835,4,0.0,,,,,,,,,,
Almonds In-Shell,276,Germany,486809.198,40364195.291999996,5,1.206042123417442,,23.73049157383568,78.61596657163896,469.850369578675,6.574923074313271,7.455259242193621,-11.808256953668602,Highly Competitive,,
Almonds In-Shell,251,France,200677.66799999998,23908476.845,6,0.839357811461619,,13291.617129297205,411.6162632847336,13291.617129297205,8.565719139491206,8.63839973639374,-0.841366446569147,Competitive,,
Almonds In-Shell,764,Thailand,0.0,18062014.72,7,0.0,,,,,,,,,,
Almonds In-Shell,620,Portugal,0.0,12730122.011,8,0.0,,,,,,,,,,
Almonds In-Shell,380,Italy,0.0,10108440.406,9,0.0,,,,,,,,,,
Almonds In-Shell,586,Pakistan,1656292.492,9701239.357,10,17.07299893394435,,45.55571779847637,16.640603750428305,58.689896494532064,0.9388923548204969,1.2533523963460602,-25.089515322451934,Highly Competitive,,
Almonds Shelled,276,Germany,6689877.104,3833739279.031,1,0.17450005378797973,,-50.417333570969255,0.31719454537662006,0.9546051988881963,5.192357203420788,8.719791045487645,-40.45319232611943,Highly Competitive,,
Almonds Shelled,724,Spain,6089527.217,2876239413.259,2,0.21171837048502506,,36.45929009404,5.361664135166566,16.96282908748451,4.869518141762758,12.322954081504713,-60.4841654886037,Highly Competitive,,
Almonds Shelled,792,Turkey,4129640.0,2326879264.0,3,0.17747547386283297,,-0.33113222119246216,-41.55674934645697,-80.0380441339797,4.801906976744186,5.795294352068385,-17.141275575927423,Highly Competitive,,
Almonds Shelled,251,France,36692.696,993254122.6719999,4,0.003694190153602509,,,,,3.873806587837838,11.540550509474524,-66.43308666551451,Highly Competitive,,
Almonds Shelled,124,Canada,1599898.8190000001,529203074.11399996,5,0.30232228368638553,,-7.466968789309068,35.76796038771985,150.2602541191955,12.804873047341458,9.729470486839746,31.60914630104028,Above Market,,
Almonds Shelled,826,United Kingdom,899184.113,483948107.503,6,0.18580176243264387,,4.665732402963624,69.06351881902766,383.22535287896915,5.2646672814351625,7.738538596783659,-31.968197669476027,Highly Competitive,,
Almonds Shelled,504,504,0.0,396572323.481,7,0.0,,,,,,,,,,
Almonds Shelled,380,Italy,0.0,315272731.379,8,0.0,,-70.19058211624308,5.297376981780544,10.875375992432081,,,,,,
Almonds Shelled,757,757,113961.094,239772767.646,9,0.047528789494665186,,60.6813404338501,34.84812967281536,145.2080827519846,2.7077499545703034,12.403262436731216,-78.16905053503078,Highly Competitive,,
Almonds Shelled,156,China,0.0,221426147.0,10,0.0,,,,,,,,,,
Saffron,724,Spain,31067127.564,450718597.281,1,6.892799132632914,,5.613295952140679,50.43307998099094,240.43173811660915,1427.2565493564944,1281.9497781712894,11.334825564889613,Above Market,,
Saffron,699,India,67700234.828,75302890.978,2,89.90389870659662,,-2.1206084053305796,60.14287438324708,310.69825538327905,674.7217886344156,631.367294207612,6.866762789988201,Average,,
Saffron,276,Germany,3660302.8219999997,47694625.804,3,7.674455476476391,,18.502425433888245,7.7911427106599485,25.241778994378105,673.1492358733112,1074.2873218632237,-37.33992553260204,Highly Competitive,,
Saffron,251,France,15258382.286,47010922.278,4,32.457100492028765,,63.52518583725918,546.515429099298,26923.194142988967,1533.2080530694946,351.39507502022997,336.3203021502868,Above Market,,
Saffron,752,Sweden,109012.067,31126730.145999998,5,0.35022010499875394,,2.5386232464732204,-11.569152196519994,-30.846945757629058,1443.3522713731513,646.5402312906677,123.24245290843432,Above Market,,
Saffron,826,United Kingdom,1324500.911,22720757.421,6,5.829475164308608,,58.68002336784273,71.69205283684457,406.1165977203485,288.93998931064573,612.9504723156527,-52.86079343098221,Highly Competitive,,
Saffron,380,Italy,41591.207,19427199.068,7,0.21408751130011328,,1428.2541333132463,148.16004526456203,1428.2541333132463,1599.6618076923078,1185.5237835522782,34.93291571925408,Above Market,,
Saffron,682,Saudi Arabia,14821811.629,19267281.918,8,76.92736158675851,,-3.7692995611520717,-6.496157406043402,-18.24988421071615,788.6459310950304,597.2681450875522,32.04218868552325,Above Market,,
Saffron,842,USA,1692971.0,18210320.0,9,9.296766888226017,,66.34971573657928,21.27890944924935,78.38397993804395,592.1549492829661,528.7390945704094,11.99378963344499,Above Market,,
Saffron,757,757,160555.934,17402427.708,10,0.9226065276294265,,61.473133694008695,-24.37031156177235,-56.740954373462316,1135.023851939826,661.0409148984763,71.70251135122926,Above Market,,
Fresh Grapes,276,Germany,0.0,7612254732.4140005,1,0.0,,49.69594028928015,49.69594028928015,49.69594028928015,,,,,,
Fresh Grapes,826,United Kingdom,71714.756,3054824721.6480002,2,0.0023475898794387043,,,,,1.9428574989163414,4.234387093762528,-54.11714952139659,Highly Competitive,,
Fresh Grapes,842,USA,0.0,2544130574.0,3,0.0,,,,,,,,,,
Fresh Grapes,124,Canada,0.0,2311844444.822,4,0.0,,,,,,,,,,
Fresh Grapes,724,Spain,0.0,1649745663.158,5,0.0,,,,,,,,,,
Fresh Grapes,251,France,152901.394,1237848077.793,6,0.012352193838892809,,202.73127646894605,202.73127646894605,202.73127646894605,9.368957965686274,3.9585188093127344,136.67837433650806,Above Market,,
Fresh Grapes,764,Thailand,0.0,1005802738.72,7,0.0,,,,,,,,,,
Fresh Grapes,360,Indonesia,0.0,872100022.0,8,0.0,,,,,,,,,,
Fresh Grapes,620,Portugal,0.0,769902801.205,9,0.0,,,,,,,,,,
Fresh Grapes,484,Mexico,0.0,655946992.0,10,0.0,,,,,,,,,,
Dried Grapes,276,Germany,11681215.904,1409876873.448,1,0.8285273788080783,,-23.286352474123177,-14.269631504817914,-36.990784653513536,2.6846004239384897,3.8151630631476245,-29.63340283223403,Highly Competitive,,
Dried Grapes,826,United Kingdom,4129194.162,930864635.1209999,2,0.4435869627234534,,111.33096308969516,-32.72122686576061,-69.54671199299594,2.2854896562794043,5.0368490161198265,-54.62461453648956,Highly Competitive,,
Dried Grapes,792,Turkey,77052312.0,532301568.0,3,14.475311859310548,,217.74862083504058,58.58538983307262,298.8315646896257,2.1151997951460957,2.4765941981960444,-14.5923948022324,Highly Competitive,,
