iso3,distance_km
ABW,13258
AGO,7608
AIA,12292
ALB,4342
AND,5806
ANT,13218
ARE,1814
ARG,15299
ARM,2266
ATG,12297
AUS,11365
AUT,4568
AZE,1822
BDI,5930
BEL,5416
BEN,7450
BFA,7498
BGD,2377
BGR,4043
BHR,2004
BHS,12519
BIH,4429
BLR,3881
BLZ,13823
BMU,11178
BOL,15241
BRA,13470
BRB,12466
BRN,5741
BTN,2104
BWA,8024
CAF,6188
CAN,10461
CCK,5992
CHE,5247
CHL,16354
CHN,4180
CIV,8166
CMR,6842
COG,7101
COK,15045
COL,14289
COM,5824
CPV,9325
CRI,14335
CUB,12952
CXR,6312
CYM,13283
CYP,3258
CZE,4708
DEU,4784
DJI,3668
DMA,12417
DNK,4858
DOM,12709
DZA,5867
ECU,14951
EGY,3584
ERI,3706
ESH,7697
ESP,6290
EST,4239
ETH,4196
FIN,4255
FJI,12880
FLK,15448
FRA,5590
FRO,5960
FSM,9495
GAB,7264
GBR,5718
GEO,2271
GHA,7786
GIB,6594
GIN,8955
GLP,12384
GMB,8798
GNB,8805
GNQ,7089
GRC,4058
GRD,12707
GRL,7902
GTM,14158
GUF,12507
GUY,12850
HKG,4567
HND,14078
HRV,4608
HTI,12861
HUN,4368
IDN,6001
IND,1004
IRL,6086
IRN,1621
IRQ,2285
ISL,6659
ISR,3199
ITA,4936
JAM,13173
JOR,3096
JPN,6278
KAZ,1863
KEN,5222
KGZ,1044
KHM,4421
KIR,11203
KNA,12347
KOR,5132
KWT,2080
LAO,3785
LBN,3089
LBR,8699
LBY,5133
LCA,12493
LKA,3261
LSO,8347
LTU,4043
LUX,5304
LVA,4186
MAC,4513
MAR,6812
MDA,3627
MDG,6370
MDV,3407
MEX,13906
MHL,10652
MKD,4198
MLI,8057
MLT,4907
MMR,3330
MNG,3444
MNP,7849
MOZ,7761
MRT,8455
MSR,12360
MTQ,12452
MUS,6211
MWI,6566
MYS,4846
NAM,8406
NCL,12033
NER,7082
NFK,12537
NGA,6883
NIC,14236
NIU,13998
NLD,5361
NOR,5015
NPL,1710
NRU,10758
NZL,13762
OMN,1588
PAK,375
PAL,3245
PAN,14179
PCN,17900
PER,15811
PHL,5618
PLW,7295
PNG,9528
POL,4268
PRI,12480
PRK,4989
PRT,6791
PRY,14863
PYF,15756
QAT,1988
REU,6333
ROU,3814
RUS,3368
RWA,5755
SAU,2425
SDN,4223
SEN,8800
SGP,5158
SHN,9691
SLB,10680
SLE,8796
SLV,14203
SMR,4901
SOM,4380
SPM,9475
STP,7513
SUR,12680
SVK,4509
SVN,4719
SWE,4597
SWZ,7872
SYC,4589
SYR,3023
TCA,12523
TCD,5990
TGO,7602
THA,3903
TJK,459
TKL,13215
TKM,1043
TMP,7623
TON,13625
TTO,12807
TUN,5253
TUR,3254
TUV,12382
TWN,5106
TZA,5732
UGA,5381
UKR,3581
URY,15101
USA,11155
UZB,751
VCT,12578
VEN,13209
VGB,12378
VNM,3884
VUT,11939
WLF,13095
WSM,12020
YEM,3280
SRB,4259
ZAF,7978
ZAR,7100
ZMB,7049
ZWE,7088
