hs2022,hs2017,relationship
010121,010121,1:1
010129,010129,1:1
010130,010130,1:1
010190,010190,1:1
010221,010221,1:1
010229,010229,1:1
010231,010231,1:1
010239,010239,1:1
010290,010290,1:1
010310,010310,1:1
010391,010391,1:1
010392,010392,1:1
010410,010410,1:1
010420,010420,1:1
010511,010511,1:1
010512,010512,1:1
010513,010513,1:1
010514,010514,1:1
010515,010515,1:1
010594,010594,1:1
010599,010599,1:1
010611,010611,1:1
010612,010612,1:1
010613,010613,1:1
010614,010614,1:1
010619,010619,1:1
010620,010620,1:1
010631,010631,1:1
010632,010632,1:1
010633,010633,1:1
010639,010639,1:1
010641,010641,1:1
010649,010649,1:1
010690,010690,1:1
020110,020110,1:1
020120,020120,1:1
020130,020130,1:1
020210,020210,1:1
020220,020220,1:1
020230,020230,1:1
020311,020311,1:1
020312,020312,1:1
020319,020319,1:1
020321,020321,1:1
020322,020322,1:1
020329,020329,1:1
020410,020410,1:1
020421,020421,1:1
020422,020422,1:1
020423,020423,1:1
020430,020430,1:1
020441,020441,1:1
020442,020442,1:1
020443,020443,1:1
020450,020450,1:1
020500,020500,1:1
020610,020610,1:1
020621,020621,1:1
020622,020622,1:1
020629,020629,1:1
020630,020630,1:1
020641,020641,1:1
020649,020649,1:1
020680,020680,1:1
020690,020690,1:1
020711,020711,1:1
020712,020712,1:1
020713,020713,1:1
020714,020714,1:1
020724,020724,1:1
020725,020725,1:1
020726,020726,1:1
020727,020727,1:1
020741,020741,1:1
020742,020742,1:1
020743,020743,1:1
020744,020744,1:1
020745,020745,1:1
020751,020751,1:1
020752,020752,1:1
020753,020753,1:1
020754,020754,1:1
020755,020755,1:1
020760,020760,1:1
020810,020810,1:1
020830,020830,1:1
020840,020840,1:1
020850,020850,1:1
020860,020860,1:1
020890,020890,n:1
020910,020910,1:1
020990,020990,1:1
021011,021011,1:1
021012,021012,1:1
021019,021019,1:1
021020,021020,1:1
021091,021091,1:1
021092,021092,1:1
021093,021093,1:1
021099,021099,n:1
030111,030111,1:1
030119,030119,1:1
030191,030191,1:1
030192,030192,1:1
030193,030193,1:1
030194,030194,1:1
030195,030195,1:1
030199,030199,1:1
030211,030211,1:1
030213,030213,1:1
030214,030214,1:1
030219,030219,1:1
