iso3,cnl,lp
ABW,0,0.0391
AGO,0,0.0501
AIA,0,0.0122
ALA,0,0.1266
ALB,0,0.1782
AND,0,0.1096
ANT,0,0.0463
ARE,0.007,0.0968
ARG,0,0.1052
ARM,0,0.2023
ASM,0,0.0062
ATG,0,0.0902
AUS,0.0003,0.1514
AUT,0,0.1243
AZE,0,0.0979
BDI,0,0
BEL,0,0.1267
BEN,0,0.0002
BFA,0,0.0014
BGD,0,0.2683
BGR,0,0.1449
BHR,0,0.1053
BHS,0,0.0844
BIH,0,0.146
BLM,0,0.0882
BLR,0,0.1604
BLZ,0,0.092
BMU,0,0.1584
BOL,0,0.0662
BRA,0,0.1072
BRB,0,0.0811
BRN,0,0.0049
BTN,0,0.0525
BWA,0,0.0046
CAF,0,0.0003
CAN,0,0.1391
CCK,0,0.0267
CHE,0,0.1238
CHL,0,0.1051
CHN,0,0.0013
CIV,0,0.0003
CMR,0,0
COD,0,0
COG,0,0.0002
COK,0,0.0073
COL,0,0.1058
COM,0,0.0002
CPV,0,0
CRI,0,0.105
CUB,0,0.1068
CUW,0,0.0226
CXR,0,0.0706
CYM,0,0.1103
CYP,0,0.1587
CZE,0,0.1452
DEU,0,0.125
DJI,0,0.0026
DMA,0,0.0105
DNK,0,0.125
DOM,0,0.1048
DZA,0,0.0007
ECU,0,0.0975
EGY,0,0.0002
ERI,0,0.0001
ESH,0,0.0002
ESP,0,0.106
EST,0,0.0415
ETH,0,0.0001
FIN,0,0.0108
FJI,0,0.1234
FLK,0,0.1561
FRA,0,0.0962
FRO,0,0.1605
FSM,0,0.0019
GAB,0,0.0035
GBR,0.0002,0.1613
GEO,0,0.0404
GGY,0,0.1603
GHA,0,0
GIB,0,0.1326
GIN,0,0
GLP,0,0.0016
GMB,0,0.0001
GNB,0,0.0043
GNQ,0,0
GRC,0,0.1775
GRD,0,0.0078
GRL,0,0.0136
GTM,0,0.0723
GUF,0,0.0493
GUM,0,0.0566
GUY,0,0.0791
HKG,0,0.0069
HND,0,0.1054
HRV,0,0.1452
HTI,0,0
HUN,0,0.0028
IDN,0,0
IMN,0,0.1605
IND,0,0.2197
IOT,0,0.1605
IRL,0,0.1584
IRN,0.0028,0.4876
IRQ,0.0008,0.1211
ISL,0,0.1603
ISR,0,0.0464
ITA,0,0.1419
JAM,0,0.0005
JEY,0,0.157
JOR,0,0.0004
JPN,0,0.0002
KAZ,0,0.1001
KEN,0,0.0005
KGZ,0,0.0964
KHM,0,0
KIR,0,0.0038
KNA,0,0.0031
KOR,0,0
KWT,0,0.0002
LAO,0,0
LBN,0,0.032
LBR,0,0
LBY,0,0.0051
LCA,0,0.0016
LIE,0,0.1236
LKA,0,0.2108
LSO,0,0
LTU,0,0.1595
LUX,0,0.1144
LVA,0,0.1602
MAC,0,0.0046
MAF,0,0.0387
MAR,0,0.0004
MCO,0,0.1209
MDA,0,0.1576
MDG,0,0.0007
MDV,0,0.2733
MEX,0,0.1015
MHL,0,0.0567
MKD,0,0.1544
MLI,0,0.0001
MLT,0,0.0168
MMR,0,0.0029
MNE,0,0.1487
MNG,0,0.0015
MNP,0,0.0259
MOZ,0,0.0131
MRT,0,0.0003
MSR,0,0.0041
MTQ,0,0.0021
MUS,0,0.0236
MWI,0,0.0002
MYS,0,0.0054
MYT,0,0.0032
NAM,0,0.0134
NCL,0,0.0478
NER,0,0.0001
NFK,0,0.1278
NGA,0,0
NIC,0,0.1042
NIU,0,0.0228
NLD,0,0.137
NOR,0,0.1337
NPL,0,0.2225
NRU,0,0.0107
NZL,0,0.144
OMN,0,0.056
PAK,0.0155,0.3092
PAN,0,0.0889
PCN,0,0
PER,0,0.0868
PHL,0,0.0002
PLW,0,0.0308
PNG,0,0.0058
POL,0,0.1457
PRI,0,0.1094
PRK,0,0
PRT,0,0.1058
PRY,0,0.0115
PSE,0,0.0003
PYF,0,0.0691
QAT,0,0.0934
REU,0,0.0261
ROU,0,0.1512
RUS,0,0.1494
RWA,0,0.0001
SAU,0,0.0141
SDN,0,0.0002
SEN,0,0.0003
SGP,0,0.047
SHN,0,0.1605
SLB,0,0.0042
SLE,0,0.0115
SLV,0,0.1067
SMR,0,0.1458
SOM,0,0.0001
SPM,0,0.1002
SRB,0,0.1409
SSD,0,0
STP,0,0.0535
SUR,0,0.1102
SVK,0,0.1345
SVN,0,0.1454
SWE,0,0.134
SWZ,0,0.0041
SXM,0,0.0559
SYC,0,0.0094
SYR,0.0004,0.0429
TCA,0,0.0119
TCD,0,0.0001
TGO,0,0.0001
THA,0,0.0002
TJK,0.0001,0.5434
TKL,0,0.0444
TKM,0.0469,0.127
TLS,0,0.0002
TON,0,0.0019
TTO,0,0.0812
TUN,0,0.0003
TUR,0,0.1353
TUV,0,0
TWN,0,0
TZA,0,0.0013
UGA,0,0
UKR,0,0.1591
URY,0,0.108
USA,0,0.1484
UZB,0.0003,0.1642
VAT,0,0.1458
VCT,0,0.0005
VEN,0,0.1053
VGB,0,0.0809
VIR,0,0.0387
VNM,0,0
VUT,0,0.0076
WLF,0,0.0108
WSM,0,0.0153
YEM,0,0.0046
ZAF,0,0.0374
ZMB,0,0.0014
ZWE,0,0.0038
